IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,DIM_PUBLISH_STATE_CODE
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,84,Belize,2000,YEAR,Total,AMOUNT,62.28884,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,84,Belize,2000,YEAR,Female,AMOUNT,64.57263,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,68,Bolivia (Plurinational State of),2000,YEAR,Female,AMOUNT,58.1782,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,76,Brazil,2000,YEAR,Total,AMOUNT,61.66495,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,76,Brazil,2000,YEAR,Female,AMOUNT,63.82217,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,96,Brunei Darussalam,2000,YEAR,Male,AMOUNT,63.11553,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,72,Botswana,2000,YEAR,Total,AMOUNT,40.08446,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,72,Botswana,2000,YEAR,Female,AMOUNT,41.39515,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,140,Central African Republic,2000,YEAR,Male,AMOUNT,38.19217,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,124,Canada,2000,YEAR,Total,AMOUNT,69.41611,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,756,Switzerland,2000,YEAR,Total,AMOUNT,69.28847,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,756,Switzerland,2000,YEAR,Female,AMOUNT,70.56551,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,156,China,2000,YEAR,Total,AMOUNT,63.70847,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,120,Cameroon,2000,YEAR,Male,AMOUNT,45.39597,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,180,Democratic Republic of the Congo,2000,YEAR,Total,AMOUNT,45.25779,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,180,Democratic Republic of the Congo,2000,YEAR,Male,AMOUNT,44.13178,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,174,Comoros,2000,YEAR,Male,AMOUNT,53.15047,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,132,Cabo Verde,2000,YEAR,Total,AMOUNT,61.98182,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,132,Cabo Verde,2000,YEAR,Female,AMOUNT,64.24406,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,192,Cuba,2000,YEAR,Female,AMOUNT,68.1423,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,262,Djibouti,2000,YEAR,Female,AMOUNT,53.76836,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,262,Djibouti,2000,YEAR,Male,AMOUNT,51.76263,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,180,Democratic Republic of the Congo,2000,YEAR,Female,AMOUNT,46.42463,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,178,Congo,2000,YEAR,Male,AMOUNT,45.48362,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,132,Cabo Verde,2000,YEAR,Male,AMOUNT,59.44102,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,188,Costa Rica,2000,YEAR,Male,AMOUNT,66.84241,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,192,Cuba,2000,YEAR,Male,AMOUNT,66.16367,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,953,Africa,2000,YEAR,Total,AMOUNT,45.80384,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,953,Africa,2000,YEAR,Female,AMOUNT,46.61981,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,24,Angola,2000,YEAR,Male,AMOUNT,41.18177,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,954,Americas,2000,YEAR,Female,AMOUNT,65.68521,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,784,United Arab Emirates,2000,YEAR,Male,AMOUNT,63.6955,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,32,Argentina,2000,YEAR,Male,AMOUNT,62.82815,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,51,Armenia,2000,YEAR,Male,AMOUNT,61.18815,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,28,Antigua and Barbuda,2000,YEAR,Total,AMOUNT,65.53024,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,28,Antigua and Barbuda,2000,YEAR,Female,AMOUNT,67.04361,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,36,Australia,2000,YEAR,Female,AMOUNT,69.97304,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,108,Burundi,2000,YEAR,Female,AMOUNT,39.67566,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,56,Belgium,2000,YEAR,Male,AMOUNT,66.12458,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,48,Bahrain,2000,YEAR,Female,AMOUNT,61.62724,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,70,Bosnia and Herzegovina,2000,YEAR,Female,AMOUNT,67.97465,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,70,Bosnia and Herzegovina,2000,YEAR,Male,AMOUNT,64.20924,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,112,Belarus,2000,YEAR,Female,AMOUNT,65.15917,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,112,Belarus,2000,YEAR,Male,AMOUNT,56.6286,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,84,Belize,2000,YEAR,Male,AMOUNT,60.33562,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,76,Brazil,2000,YEAR,Male,AMOUNT,59.59667,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,52,Barbados,2000,YEAR,Female,AMOUNT,67.21629,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,140,Central African Republic,2000,YEAR,Total,AMOUNT,38.69343,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,140,Central African Republic,2000,YEAR,Female,AMOUNT,39.26617,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,756,Switzerland,2000,YEAR,Male,AMOUNT,67.87284,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,152,Chile,2000,YEAR,Total,AMOUNT,66.9956,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,152,Chile,2000,YEAR,Female,AMOUNT,68.47037,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,384,Côte d'Ivoire,2000,YEAR,Male,AMOUNT,43.29557,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,178,Congo,2000,YEAR,Total,AMOUNT,45.35336,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,178,Congo,2000,YEAR,Female,AMOUNT,45.1825,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,174,Comoros,2000,YEAR,Total,AMOUNT,53.76669,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,174,Comoros,2000,YEAR,Female,AMOUNT,54.37717,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,188,Costa Rica,2000,YEAR,Total,AMOUNT,68.03592,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,196,Cyprus,2000,YEAR,Total,AMOUNT,69.12556,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,203,Czechia,2000,YEAR,Female,AMOUNT,68.25306,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,276,Germany,2000,YEAR,Total,AMOUNT,68.46447,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,262,Djibouti,2000,YEAR,Total,AMOUNT,52.72825,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,214,Dominican Republic,2000,YEAR,Male,AMOUNT,62.12284,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,208,Denmark,2000,YEAR,Total,AMOUNT,67.56724,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,208,Denmark,2000,YEAR,Male,AMOUNT,66.73137,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,12,Algeria,2000,YEAR,Female,AMOUNT,62.79645,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,218,Ecuador,2000,YEAR,Total,AMOUNT,65.24841,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,818,Egypt,2000,YEAR,Male,AMOUNT,60.27279,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,192,Cuba,2000,YEAR,Total,AMOUNT,67.12449,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,203,Czechia,2000,YEAR,Total,AMOUNT,65.93805,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,208,Denmark,2000,YEAR,Female,AMOUNT,68.3408,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,218,Ecuador,2000,YEAR,Male,AMOUNT,63.89726,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,818,Egypt,2000,YEAR,Total,AMOUNT,61.20637,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,12,Algeria,2000,YEAR,Total,AMOUNT,62.70995,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,957,Eastern Mediterranean,2000,YEAR,Total,AMOUNT,56.6034,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,957,Eastern Mediterranean,2000,YEAR,Male,AMOUNT,56.28472,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,233,Estonia,2000,YEAR,Male,AMOUNT,58.54023,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,231,Ethiopia,2000,YEAR,Total,AMOUNT,44.33031,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,232,Eritrea,2000,YEAR,Total,AMOUNT,47.00956,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,232,Eritrea,2000,YEAR,Female,AMOUNT,49.85559,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,232,Eritrea,2000,YEAR,Male,AMOUNT,44.59597,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,724,Spain,2000,YEAR,Total,AMOUNT,69.06283,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,724,Spain,2000,YEAR,Female,AMOUNT,70.98964,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,233,Estonia,2000,YEAR,Total,AMOUNT,62.56221,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,233,Estonia,2000,YEAR,Female,AMOUNT,66.49778,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,956,Europe,2000,YEAR,Total,AMOUNT,63.65211,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,246,Finland,2000,YEAR,Female,AMOUNT,69.6449,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,242,Fiji,2000,YEAR,Female,AMOUNT,59.46612,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,231,Ethiopia,2000,YEAR,Male,AMOUNT,43.8574,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,246,Finland,2000,YEAR,Total,AMOUNT,67.77811,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,242,Fiji,2000,YEAR,Total,AMOUNT,58.0852,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,250,France,2000,YEAR,Male,AMOUNT,67.41146,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,266,Gabon,2000,YEAR,Female,AMOUNT,51.39027,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,826,United Kingdom of Great Britain and Northern Ireland,2000,YEAR,Female,AMOUNT,68.57129,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,268,Georgia,2000,YEAR,Male,AMOUNT,59.21821,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,288,Ghana,2000,YEAR,Female,AMOUNT,52.46387,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,324,Guinea,2000,YEAR,Total,AMOUNT,47.53795,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,1,World,2000,YEAR,Male,AMOUNT,57.12733,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,818,Egypt,2000,YEAR,Female,AMOUNT,62.16456,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,724,Spain,2000,YEAR,Male,AMOUNT,67.13502,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,956,Europe,2000,YEAR,Female,AMOUNT,66.38853,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,246,Finland,2000,YEAR,Male,AMOUNT,65.78826,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,826,United Kingdom of Great Britain and Northern Ireland,2000,YEAR,Male,AMOUNT,66.50073,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,266,Gabon,2000,YEAR,Total,AMOUNT,50.50198,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,268,Georgia,2000,YEAR,Total,AMOUNT,61.94118,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,268,Georgia,2000,YEAR,Female,AMOUNT,64.60355,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,288,Ghana,2000,YEAR,Total,AMOUNT,51.89802,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,624,Guinea-Bissau,2000,YEAR,Male,AMOUNT,42.59795,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,4,Afghanistan,2000,YEAR,Female,AMOUNT,46.58344,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,4,Afghanistan,2000,YEAR,Male,AMOUNT,46.93113,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,226,Equatorial Guinea,2000,YEAR,Male,AMOUNT,45.81385,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,300,Greece,2000,YEAR,Male,AMOUNT,67.46355,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,308,Grenada,2000,YEAR,Female,AMOUNT,66.13266,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,320,Guatemala,2000,YEAR,Male,AMOUNT,55.60092,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,328,Guyana,2000,YEAR,Total,AMOUNT,54.96851,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,340,Honduras,2000,YEAR,Total,AMOUNT,61.22247,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,340,Honduras,2000,YEAR,Female,AMOUNT,61.43516,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,340,Honduras,2000,YEAR,Male,AMOUNT,61.07537,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,191,Croatia,2000,YEAR,Male,AMOUNT,62.89141,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,332,Haiti,2000,YEAR,Total,AMOUNT,49.99758,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,324,Guinea,2000,YEAR,Female,AMOUNT,47.80984,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,1,World,2000,YEAR,Total,AMOUNT,58.33649,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,1,World,2000,YEAR,Female,AMOUNT,59.59816,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,308,Grenada,2000,YEAR,Male,AMOUNT,61.46682,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,320,Guatemala,2000,YEAR,Female,AMOUNT,60.07415,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,8,Albania,2000,YEAR,Total,AMOUNT,65.23516,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,8,Albania,2000,YEAR,Male,AMOUNT,63.14932,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,954,Americas,2000,YEAR,Total,AMOUNT,64.08772,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,51,Armenia,2000,YEAR,Total,AMOUNT,63.50006,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,51,Armenia,2000,YEAR,Female,AMOUNT,65.64015,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,270,Gambia,2000,YEAR,Total,AMOUNT,51.66499,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,624,Guinea-Bissau,2000,YEAR,Total,AMOUNT,44.0478,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,226,Equatorial Guinea,2000,YEAR,Total,AMOUNT,46.81095,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,300,Greece,2000,YEAR,Female,AMOUNT,69.8172,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,360,Indonesia,2000,YEAR,Male,AMOUNT,58.45184,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,348,Hungary,2000,YEAR,Female,AMOUNT,66.10509,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,348,Hungary,2000,YEAR,Male,AMOUNT,59.96666,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,356,India,2000,YEAR,Female,AMOUNT,52.67527,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,372,Ireland,2000,YEAR,Female,AMOUNT,68.29726,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,376,Israel,2000,YEAR,Male,AMOUNT,68.42462,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,328,Guyana,2000,YEAR,Male,AMOUNT,52.8885,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,191,Croatia,2000,YEAR,Total,AMOUNT,65.42682,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,191,Croatia,2000,YEAR,Female,AMOUNT,67.88595,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,360,Indonesia,2000,YEAR,Total,AMOUNT,59.02893,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,372,Ireland,2000,YEAR,Male,AMOUNT,65.87508,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,356,India,2000,YEAR,Total,AMOUNT,52.94549,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,356,India,2000,YEAR,Male,AMOUNT,53.1871,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,364,Iran (Islamic Republic of),2000,YEAR,Male,AMOUNT,62.05581,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,376,Israel,2000,YEAR,Total,AMOUNT,69.21453,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,380,Italy,2000,YEAR,Total,AMOUNT,69.03748,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,364,Iran (Islamic Republic of),2000,YEAR,Female,AMOUNT,63.11931,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,368,Iraq,2000,YEAR,Total,AMOUNT,59.52388,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,368,Iraq,2000,YEAR,Male,AMOUNT,58.549,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,352,Iceland,2000,YEAR,Total,AMOUNT,69.82331,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,352,Iceland,2000,YEAR,Female,AMOUNT,70.33992,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,40,Austria,2000,YEAR,Female,AMOUNT,69.81113,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,40,Austria,2000,YEAR,Male,AMOUNT,66.34692,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,31,Azerbaijan,2000,YEAR,Male,AMOUNT,56.62009,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,204,Benin,2000,YEAR,Female,AMOUNT,50.69048,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,204,Benin,2000,YEAR,Male,AMOUNT,48.43765,PUBLISHED
